school,dist.n,schoolyr,did_absence_rate_all,did_absence_rate_ill
Kensington Elementary,0,2016-17,-0.003607567501195331,3.7636579108442716e-4
King Elementary,0,2014-15,0.0027313095750383376,0.022607360747163116
King Elementary,0,2015-16,-0.01751856655288845,0.006115694228550725
King Elementary,0,2016-17,0.05431531560575731,0.03852720244079003
La Escuelita Elementary,1,2014-15,0.008188403409599025,0.0020097995377931707
La Escuelita Elementary,1,2015-16,-0.01686742681488366,-0.026509871203726873
La Escuelita Elementary,1,2016-17,0.017102525140097365,-0.0015074379845336425
Lafayette Elementary,1,2014-15,-0.013267757225845542,0.030328949713104528
Lafayette Elementary,1,2015-16,-0.04282163505700546,-0.0141459988112606
Lafayette Elementary,1,2016-17,7.447398080862727e-4,-0.01863094904510159
Lake Elementary,0,2014-15,0.014641919760029994,0.011229846269216345
Lake Elementary,0,2015-16,-0.008333385122439807,-0.0019529672050662208
Lake Elementary,0,2016-17,0.0030225856599385773,0.0053007419016443125
Laurel Elementary,1,2014-15,0.01860246093723803,0.0038209081281947305
Laurel Elementary,1,2015-16,0.005521651256336697,0.013668161468286859
Laurel Elementary,1,2016-17,0.01079308487785604,0.01443085653534068
Lincoln Elementary,0,2014-15,0.020493846148027774,0.0226295094945685
Lincoln Elementary,0,2015-16,0.01115723681141844,0.016545503410562417
Lincoln Elementary,0,2016-17,0.05427411992830156,0.0250303518954109
Lincoln Elementary,1,2014-15,0.01093671194152426,0.010662830766068799
Lincoln Elementary,1,2015-16,-5.035740162539007e-5,5.944503554339321e-4
Lincoln Elementary,1,2016-17,0.007905325807144925,0.0030469427956891938
Lupine Hills Elementary,0,2014-15,0.0027681085383674114,0.009070366982286485
Lupine Hills Elementary,0,2015-16,-0.00525611232884126,0.0015686732153488148
Lupine Hills Elementary,0,2016-17,0.002159952850511321,0.0063778376947888835
Madera Elementary,0,2014-15,0.003751566416040103,0.010432791537667702
Madera Elementary,0,2015-16,0.0038530906706017373,2.01093718353057e-4
Madera Elementary,0,2016-17,0.008883911907428148,0.00489939910267952
Madison Park Lower Campus,1,2014-15,0.04187182282621097,0.0640277372817971
Madison Park Lower Campus,1,2015-16,0.0018816772431520593,-0.0022210619326853576
Madison Park Lower Campus,1,2016-17,0.0219715852442672,0.028128115653040874
