school,dist.n,schoolyr,absences_all,absences_ill,student_days,absence_rate_all,absence_rate_ill
International Community School,1,2012-13,12,11,431,0.027842227378190254,0.025522041763341066
International Community School,1,2013-14,13,11,321,0.040498442367601244,0.03426791277258567
International Community School,1,2014-15,24,14,406,0.059113300492610835,0.034482758620689655
International Community School,1,2015-16,17,10,217,0.07834101382488479,0.04608294930875576
International Community School,1,2016-17,7,2,228,0.03070175438596491,0.008771929824561403
Joaquin Miller Elementary,1,2011-12,25,21,550,0.045454545454545456,0.038181818181818185
Joaquin Miller Elementary,1,2012-13,24,20,560,0.04285714285714286,0.03571428571428571
Joaquin Miller Elementary,1,2013-14,20,14,358,0.055865921787709494,0.03910614525139665
Joaquin Miller Elementary,1,2014-15,30,22,482,0.06224066390041494,0.04564315352697095
Joaquin Miller Elementary,1,2015-16,22,15,273,0.08058608058608059,0.054945054945054944
Joaquin Miller Elementary,1,2016-17,14,10,323,0.043343653250773995,0.030959752321981424
Kaiser Elementary,1,2011-12,19,12,386,0.04922279792746114,0.031088082901554404
Kaiser Elementary,1,2012-13,12,8,331,0.03625377643504532,0.02416918429003021
Kaiser Elementary,1,2013-14,13,6,260,0.05,0.023076923076923078
Kaiser Elementary,1,2014-15,17,11,346,0.049132947976878616,0.031791907514450865
Kaiser Elementary,1,2015-16,7,6,162,0.043209876543209874,0.037037037037037035
Kaiser Elementary,1,2016-17,12,9,189,0.06349206349206349,0.047619047619047616
Kensington Elementary,0,2011-12,26,23,756,0.03439153439153439,0.03042328042328042
Kensington Elementary,0,2012-13,19,14,737,0.025780189959294438,0.018995929443690638
Kensington Elementary,0,2013-14,20,14,484,0.04132231404958678,0.028925619834710745
Kensington Elementary,0,2014-15,9,8,577,0.01559792027729636,0.01386481802426343
Kensington Elementary,0,2015-16,9,7,362,0.024861878453038673,0.019337016574585635
Kensington Elementary,0,2016-17,6,5,377,0.015915119363395226,0.013262599469496022
King Elementary,0,2011-12,44,16,656,0.06707317073170732,0.024390243902439025
King Elementary,0,2012-13,49,24,635,0.07716535433070866,0.03779527559055118
King Elementary,0,2013-14,24,9,436,0.05504587155963303,0.020642201834862386
King Elementary,0,2014-15,53,34,570,0.09298245614035087,0.05964912280701754
