school,dist.n,schoolyr,did_absence_rate_all,did_absence_rate_ill
Glenview Elementary,1,2015-16,0.015665515727301512,0.016816402245920202
Glenview Elementary,1,2016-17,0.013092857569815371,0.013254568704850964
Global Family School,1,2014-15,0.004170541133380973,0.0031903190807308773
Global Family School,1,2015-16,-1.2947228225448915e-4,0.0019348737400334826
Global Family School,1,2016-17,0.007033590405310326,0.004731566712388887
Grant Elementary,0,2014-15,0.006468074815471153,0.002609870701654412
Grant Elementary,0,2015-16,0.007347482508534661,0.016519294082507633
Grant Elementary,0,2016-17,0.015916801728223712,0.018005962456413557
Grass Valley Elementary,1,2014-15,0.00532588399156738,0.014825531941419653
Grass Valley Elementary,1,2015-16,0.00509184699320496,0.009276064976013153
Grass Valley Elementary,1,2016-17,0.005334373684143988,0.0086543616633449
Hanna Ranch Elementary,0,2014-15,0.0021492095022314917,0.008514074975359418
Hanna Ranch Elementary,0,2015-16,-3.7270063606997805e-4,0.005662743846834555
Hanna Ranch Elementary,0,2016-17,0.00480755747387563,0.011671145167735871
Harding Elementary,0,2014-15,3.2347401480112975e-4,0.006576796708588302
Harding Elementary,0,2015-16,0.0014233098850177997,0.003739731328201639
Harding Elementary,0,2016-17,0.00633487944062254,0.009395631113774318
Highland Elementary,0,2014-15,-6.264143105974146e-4,0.006022893581643079
Highland Elementary,0,2015-16,0.003055248204735496,0.005452018651372247
Highland Elementary,0,2016-17,0.004573526506622287,0.010265483488421986
Hoover Elementary,1,2014-15,0.008081595039365647,0.007859801134172652
Hoover Elementary,1,2015-16,0.011888763217300341,0.01773433677917178
Hoover Elementary,1,2016-17,0.005650421535181513,0.02029319131405931
Horace Mann Elementary,1,2014-15,0.0141445356191073,0.009881501410776136
Horace Mann Elementary,1,2015-16,0.021846651787818826,0.012532114945673734
Horace Mann Elementary,1,2016-17,0.012174760283890716,0.022505620793902805
Howard Elementary,1,2014-15,0.015906302478039744,-0.003329327524210411
Howard Elementary,1,2015-16,0.0275941898324404,0.004771763731393784
Howard Elementary,1,2016-17,0.02239325755806705,0.008491961402238006
International Community School,1,2014-15,0.00190975093204699,-0.011434458229702349
International Community School,1,2015-16,0.002580103392754461,-0.014227605935561969
International Community School,1,2016-17,7.340290965110255e-4,-0.019323756884978092
Joaquin Miller Elementary,1,2014-15,0.01110383953225516,7.088614671138874e-4
Joaquin Miller Elementary,1,2015-16,0.004642485409991175,-0.0011822369859107972
Joaquin Miller Elementary,1,2016-17,0.008802173989877406,6.241701753209941e-5
Kaiser Elementary,1,2014-15,0.010564499189050086,0.010920995375107316
Kaiser Elementary,1,2015-16,0.01527738153062181,0.021546846639568476
Kaiser Elementary,1,2016-17,0.010919828260992831,0.01045974524739026
Kensington Elementary,0,2014-15,0.004924146168128286,0.004728013493155617
Kensington Elementary,0,2015-16,0.007430901994923994,0.007999129438249628
Kensington Elementary,0,2016-17,-2.729946908275327e-4,8.751447759585106e-4
King Elementary,0,2014-15,0.0023925318143412366,0.017199619997729062
King Elementary,0,2015-16,0.004807464415702775,0.02977351561803553
King Elementary,0,2016-17,0.029661672679116957,0.029307620602504556
La Escuelita Elementary,1,2014-15,0.00418095434901522,0.003032463874206248
La Escuelita Elementary,1,2015-16,0.0028786172034408614,-9.086458464626149e-4
La Escuelita Elementary,1,2016-17,0.005846846044898497,-0.0010346297277963046
Lafayette Elementary,1,2014-15,-0.004730950857801786,0.028869867214641718
Lafayette Elementary,1,2015-16,-0.008786710279349089,0.02191674026883145
Lafayette Elementary,1,2016-17,0.02412791165564944,-0.01242319478526849
Lake Elementary,0,2014-15,0.0032987236239515674,4.306875813588733e-4
Lake Elementary,0,2015-16,0.009229616565852208,0.01143158179170161
Lake Elementary,0,2016-17,0.010037562364079058,0.011438622780928408
Laurel Elementary,1,2014-15,0.017600106011506217,0.0014023862669235443
Laurel Elementary,1,2015-16,0.009128757248521059,0.01161936513468352
Laurel Elementary,1,2016-17,0.004348846109131804,0.011395794003699944
Lincoln Elementary,0,2014-15,0.020578029305811756,0.015267227221124748
Lincoln Elementary,0,2015-16,0.027023185365759796,0.018247571742301318
Lincoln Elementary,0,2016-17,0.02379856907296169,0.010715842108298953
Lincoln Elementary,1,2014-15,0.0046913623425380545,0.0031349861706999535
Lincoln Elementary,1,2015-16,1.6744042139676257e-4,-5.074471455032304e-4
Lincoln Elementary,1,2016-17,0.002433683133342506,0.0018005324987236428
Lupine Hills Elementary,0,2014-15,0.01047301303685911,0.00886585647030929
Lupine Hills Elementary,0,2015-16,0.010321670132829142,0.006414148401610729
Lupine Hills Elementary,0,2016-17,0.00837180733158839,0.007515466702732176
