school,dist.n,period,absences_all,absences_ill,student_days,absence_rate_all,absence_rate_ill
Hoover Elementary,1,0,6389,2411,102291,0.062459062869656176,0.023570011046915175
Hoover Elementary,1,1,3796,1823,52944,0.07169839830764581,0.03443260803868238
Hoover Elementary,1,2,2079,1285,32411,0.0641448890808676,0.03964703341458147
Horace Mann Elementary,1,0,6230,2089,113288,0.05499258526940188,0.018439728832709553
Horace Mann Elementary,1,1,4929,2008,68840,0.07160081348053457,0.02916908773968623
Horace Mann Elementary,1,2,3143,1514,42279,0.074339506610847,0.03580974006007711
Howard Elementary,1,0,3487,2452,63790,0.05466374039818153,0.038438626744003765
Howard Elementary,1,1,2996,1518,40465,0.07403929321635981,0.037513900902014084
Howard Elementary,1,2,2107,1266,25238,0.08348522069894604,0.05016245344322054
International Community School,1,0,4618,3976,113179,0.04080262239461384,0.035130191996748515
International Community School,1,1,2477,1318,57714,0.042918529299649996,0.022836746716567904
International Community School,1,2,1649,684,37256,0.04426132703457161,0.01835945887910672
Joaquin Miller Elementary,1,0,4247,3310,134711,0.0315267498571015,0.024571118913822926
Joaquin Miller Elementary,1,1,2952,1797,72875,0.04050771869639794,0.024658662092624357
Joaquin Miller Elementary,1,2,2329,1532,53021,0.04392599158823862,0.028894211727428756
Kaiser Elementary,1,0,3460,2104,90270,0.038329456076215795,0.02330785421513238
Kaiser Elementary,1,1,2371,1767,47083,0.05035787863984878,0.03752946923518043
Kaiser Elementary,1,2,1658,1104,32945,0.050326301411443314,0.03351039611473668
Kensington Elementary,0,0,5062,3746,160398,0.031558996994975,0.023354405915285727
Kensington Elementary,0,1,2941,2297,78912,0.03726936334144363,0.029108373884833737
Kensington Elementary,0,2,1730,1357,51545,0.03356290619846736,0.026326510815792025
King Elementary,0,0,9974,4400,142040,0.0702196564348071,0.030977189524077728
King Elementary,0,1,5182,3691,70599,0.07340047309451975,0.05228119378461451
King Elementary,0,2,4420,2503,47681,0.0926993980830939,0.05249470438958915
La Escuelita Elementary,1,0,3940,3007,91006,0.0432938487572248,0.03304177746522207
La Escuelita Elementary,1,1,2487,1841,52839,0.04706750695508999,0.03484168890402922
La Escuelita Elementary,1,2,1845,1221,36245,0.05090357290660781,0.03368740515933232
Lafayette Elementary,1,0,7197,1810,96364,0.07468556722427462,0.018782947988875514
Lafayette Elementary,1,1,2734,1814,39752,0.06877641376534514,0.04563292412960354
Lafayette Elementary,1,2,1881,510,19912,0.09446564885496184,0.025612695861791886
Lake Elementary,0,0,6312,3093,116987,0.053954712916819816,0.02643883508424013
Lake Elementary,0,1,3832,1962,64868,0.05907381143244743,0.030246038108158107
Lake Elementary,0,2,2729,1737,39827,0.0685213548597685,0.043613628945187936
Laurel Elementary,1,0,7578,5106,172811,0.043851375201810074,0.029546730242866484
Laurel Elementary,1,1,5581,3246,94962,0.058770876771761335,0.03418209389018765
Laurel Elementary,1,2,3016,2445,58224,0.05179994503984611,0.041992992580379224
Lincoln Elementary,0,0,7650,3507,128789,0.05939948287509027,0.027230586463129616
Lincoln Elementary,0,1,5671,3004,69201,0.08194968280805191,0.043409777315356717
Lincoln Elementary,0,2,3498,1659,42025,0.08323616894705532,0.039476502082093995
Lincoln Elementary,1,0,3737,3111,229869,0.016257085557426183,0.01353379533560419
Lincoln Elementary,1,1,2483,1974,127299,0.019505259271478958,0.01550679895364457
Lincoln Elementary,1,2,1606,1237,86813,0.018499533480008754,0.014249018004215958
Lupine Hills Elementary,0,0,6344,3245,133717,0.047443481382322364,0.024267669780207453
Lupine Hills Elementary,0,1,4022,2251,69500,0.0578705035971223,0.03238848920863309
Lupine Hills Elementary,0,2,2570,1556,48096,0.05343479707252162,0.0323519627411843
Madera Elementary,0,0,5266,3563,158169,0.033293502519457036,0.022526538070039008
Madera Elementary,0,1,2722,1773,76404,0.0356264069943982,0.023205591330296843
Madera Elementary,0,2,1823,1308,50613,0.03601841424140043,0.025843162823780453
Madison Park Lower Campus,1,0,4245,1445,77709,0.05462687719569162,0.018595014734458043
Madison Park Lower Campus,1,1,3191,1839,47515,0.067157739661159635,0.03870356729453857
Madison Park Lower Campus,1,2,2314,1094,33747,0.06856905799033988,0.032417696387827065
Manzanita Community School,1,0,5806,2307,107212,0.05415438570309294,0.02151811364399507
Manzanita Community School,1,1,4042,1256,62804,0.06435895802815107,0.019998726195783707
Manzanita Community School,1,2,3593,1372,50703,0.07086365698282153,0.027059542827840562
Manzanita SEED Elementary,1,0,4687,2188,105132,0.04458204923334475,0.020811931666856905
Manzanita SEED Elementary,1,1,4122,2358,72318,0.056998257695179626,0.032605990209906247
Manzanita SEED Elementary,1,2,2883,1897,48025,0.06003123373243103,0.039500260281103594
Markham Elementary,1,0,7758,4743,115214,0.06733556685819432,0.04116687208151787
Markham Elementary,1,1,4703,1960,66913,0.07028529583190113,0.02929176692122607
Markham Elementary,1,2,3557,1735,40915,0.08693633141879506,0.0424049859464744
Martin Luther King Jr Elementary,1,0,7570,3603,101955,0.07424844294051297,0.035339120200088274
