school,dist.n,period,absences_all,absences_ill,student_days,absence_rate_all,absence_rate_ill
Fred T. Korematsu Discovery Academy,1,2,1571,661,24010,0.06543107038733861,0.027530195751770094
Fruitvale Elementary,1,0,7425,4912,148924,0.049857645510461714,0.032983266632644836
Fruitvale Elementary,1,1,4642,1888,66645,0.0696526371070598,0.02832920699227249
Fruitvale Elementary,1,2,1486,562,23141,0.06421502960114084,0.024285899485761202
Futures Elementary,1,0,7175,2732,108958,0.06585106187705354,0.025073881679179132
Futures Elementary,1,1,4805,2103,56348,0.08527365656278839,0.037321644068999786
Futures Elementary,1,2,1567,788,18336,0.08546029668411867,0.042975567190226875
Garfield Elementary,1,0,7455,1800,186445,0.03998498216632251,0.0096543216498163
Garfield Elementary,1,1,3853,1531,102451,0.03760822246732584,0.014943729197372402
Garfield Elementary,1,2,1630,681,37222,0.043791306216753534,0.018295631615711138
Glenview Elementary,1,0,4357,3196,151173,0.028821284224034713,0.021141341377097764
Glenview Elementary,1,1,3175,2565,78802,0.04029085556204157,0.03254993528083044
Glenview Elementary,1,2,1115,915,26602,0.041914141793850085,0.03439591008194873
