long,lat,order,hole,piece,group,id,absentee_alias,dist.n
-122.34283823,37.98288497,88,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.34254823,37.98314497,89,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.34234323,37.98336497,90,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.34215323,37.98362497,91,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.33956323,37.98713497,92,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.33880323,37.98817497,93,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.33757323,37.98984497,94,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.33737323,37.99008497,95,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.33714323,37.99032997,96,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.33679823,37.99060997,97,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.33645823,37.99080497,98,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.33603823,37.99097997,99,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.33555323,37.99111997,100,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.33530323,37.99116497,101,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.33500323,37.99117997,102,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.33469323,37.99118497,103,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.33439323,37.99116497,104,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.33411323,37.99111497,105,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.33388323,37.99104997,106,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.33301246,37.99066651,107,FALSE,1,Bayview Elementary.1,Bayview Elementary,Bayview Elementary,0
-122.34741322000001,37.95102497,108,FALSE,1,Cesar E. Chavez Elementary.1,Cesar E. Chavez Elementary,Chavez Elementary,0
-122.34743323,37.95042996,109,FALSE,1,Cesar E. Chavez Elementary.1,Cesar E. Chavez Elementary,Chavez Elementary,0
-122.34746322,37.95004496,110,FALSE,1,Cesar E. Chavez Elementary.1,Cesar E. Chavez Elementary,Chavez Elementary,0
-122.34746322,37.94976496,111,FALSE,1,Cesar E. Chavez Elementary.1,Cesar E. Chavez Elementary,Chavez Elementary,0
-122.34746323,37.94940996,112,FALSE,1,Cesar E. Chavez Elementary.1,Cesar E. Chavez Elementary,Chavez Elementary,0
-122.34745322,37.94919496,113,FALSE,1,Cesar E. Chavez Elementary.1,Cesar E. Chavez Elementary,Chavez Elementary,0
-122.34745889,37.94890666,114,FALSE,1,Cesar E. Chavez Elementary.1,Cesar E. Chavez Elementary,Chavez Elementary,0
-122.34746896,37.94857228,115,FALSE,1,Cesar E. Chavez Elementary.1,Cesar E. Chavez Elementary,Chavez Elementary,0
-122.34693175,37.94849615,116,FALSE,1,Cesar E. Chavez Elementary.1,Cesar E. Chavez Elementary,Chavez Elementary,0
-122.34534322,37.94849496,117,FALSE,1,Cesar E. Chavez Elementary.1,Cesar E. Chavez Elementary,Chavez Elementary,0
-122.34430358,37.94851265,118,FALSE,1,Cesar E. Chavez Elementary.1,Cesar E. Chavez Elementary,Chavez Elementary,0
-122.34436735,37.94703647,119,FALSE,1,Cesar E. Chavez Elementary.1,Cesar E. Chavez Elementary,Chavez Elementary,0
-122.34442945,37.94559901,120,FALSE,1,Cesar E. Chavez Elementary.1,Cesar E. Chavez Elementary,Chavez Elementary,0
-122.34445,37.94512326,121,FALSE,1,Cesar E. Chavez Elementary.1,Cesar E. Chavez Elementary,Chavez Elementary,0
-122.34555329,37.94502691,122,FALSE,1,Cesar E. Chavez Elementary.1,Cesar E. Chavez Elementary,Chavez Elementary,0
-122.34721501,37.94494389,123,FALSE,1,Cesar E. Chavez Elementary.1,Cesar E. Chavez Elementary,Chavez Elementary,0
-122.34749322,37.94510496,124,FALSE,1,Cesar E. Chavez Elementary.1,Cesar E. Chavez Elementary,Chavez Elementary,0
-122.34750322,37.94456496,125,FALSE,1,Cesar E. Chavez Elementary.1,Cesar E. Chavez Elementary,Chavez Elementary,0
-122.35015323,37.94453496,126,FALSE,1,Cesar E. Chavez Elementary.1,Cesar E. Chavez Elementary,Chavez Elementary,0
-122.35206322,37.94455496,127,FALSE,1,Cesar E. Chavez Elementary.1,Cesar E. Chavez Elementary,Chavez Elementary,0
-122.35381322,37.94453496,128,FALSE,1,Cesar E. Chavez Elementary.1,Cesar E. Chavez Elementary,Chavez Elementary,0
-122.35554323,37.94454496,129,FALSE,1,Cesar E. Chavez Elementary.1,Cesar E. Chavez Elementary,Chavez Elementary,0
-122.35758712,37.94454469,130,FALSE,1,Cesar E. Chavez Elementary.1,Cesar E. Chavez Elementary,Chavez Elementary,0
-122.35774323,37.94437496,131,FALSE,1,Cesar E. Chavez Elementary.1,Cesar E. Chavez Elementary,Chavez Elementary,0
-122.35784915,37.94416707,132,FALSE,1,Cesar E. Chavez Elementary.1,Cesar E. Chavez Elementary,Chavez Elementary,0
-122.35801823,37.94389996,133,FALSE,1,Cesar E. Chavez Elementary.1,Cesar E. Chavez Elementary,Chavez Elementary,0
-122.35820323,37.94366496,134,FALSE,1,Cesar E. Chavez Elementary.1,Cesar E. Chavez Elementary,Chavez Elementary,0
-122.35849005,37.94433996,135,FALSE,1,Cesar E. Chavez Elementary.1,Cesar E. Chavez Elementary,Chavez Elementary,0
-122.35889005,37.94535996,136,FALSE,1,Cesar E. Chavez Elementary.1,Cesar E. Chavez Elementary,Chavez Elementary,0
-122.35926005,37.94648996,137,FALSE,1,Cesar E. Chavez Elementary.1,Cesar E. Chavez Elementary,Chavez Elementary,0
-122.35943005,37.94711996,138,FALSE,1,Cesar E. Chavez Elementary.1,Cesar E. Chavez Elementary,Chavez Elementary,0
-122.35967058,37.94808209,139,FALSE,1,Cesar E. Chavez Elementary.1,Cesar E. Chavez Elementary,Chavez Elementary,0
-122.35975005,37.94839996,140,FALSE,1,Cesar E. Chavez Elementary.1,Cesar E. Chavez Elementary,Chavez Elementary,0
-122.35992982,37.94953079,141,FALSE,1,Cesar E. Chavez Elementary.1,Cesar E. Chavez Elementary,Chavez Elementary,0
-122.36006005,37.95034996,142,FALSE,1,Cesar E. Chavez Elementary.1,Cesar E. Chavez Elementary,Chavez Elementary,0
-122.35951005,37.95089996,143,FALSE,1,Cesar E. Chavez Elementary.1,Cesar E. Chavez Elementary,Chavez Elementary,0
-122.35711323,37.95101496,144,FALSE,1,Cesar E. Chavez Elementary.1,Cesar E. Chavez Elementary,Chavez Elementary,0
-122.35555323,37.95101496,145,FALSE,1,Cesar E. Chavez Elementary.1,Cesar E. Chavez Elementary,Chavez Elementary,0
-122.35419323,37.95103496,146,FALSE,1,Cesar E. Chavez Elementary.1,Cesar E. Chavez Elementary,Chavez Elementary,0
-122.35380323,37.95103496,147,FALSE,1,Cesar E. Chavez Elementary.1,Cesar E. Chavez Elementary,Chavez Elementary,0
-122.35308659,37.95103082,148,FALSE,1,Cesar E. Chavez Elementary.1,Cesar E. Chavez Elementary,Chavez Elementary,0
-122.35207323,37.95102496,149,FALSE,1,Cesar E. Chavez Elementary.1,Cesar E. Chavez Elementary,Chavez Elementary,0
-122.35015323,37.95101496,150,FALSE,1,Cesar E. Chavez Elementary.1,Cesar E. Chavez Elementary,Chavez Elementary,0
-122.34741322000001,37.95102497,151,FALSE,1,Cesar E. Chavez Elementary.1,Cesar E. Chavez Elementary,Chavez Elementary,0
-122.28023236,38.003367,152,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.28211322,38.00122497,153,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.28286322,38.00041497,154,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.28312322,38.00013497,155,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.28436322,37.99878497,156,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.28512322,37.99798497,157,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.28540822,37.99768997,158,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.28570322,37.99740497,159,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.28599822,37.99714497,160,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.28647322,37.99677997,161,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.28683322,37.99652497,162,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.28721322,37.99628997,163,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.28760322,37.99606497,164,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.28788322,37.99591497,165,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.28816322,37.99577497,166,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.28859934,37.99559003,167,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.28906322,37.99540497,168,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.28952322,37.99523497,169,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.28988322,37.99513497,170,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.29029322,37.99501497,171,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.29060322,37.99493497,172,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.29113822,37.99481997,173,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.29163322,37.99473497,174,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.29200322,37.99468497,175,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.29236322,37.99463497,176,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.29272322,37.99458497,177,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.29308322,37.99453497,178,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.29479322,37.99429497,179,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.29660822,37.99405497,180,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.29752322,37.99393497,181,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.29893322,37.99373497,182,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.30092322,37.99347497,183,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.30163322,37.99336497,184,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.30200922,37.99334097,185,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.30228251,37.99401464,186,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.30242989,37.99442497,187,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.30247322,37.99476497,188,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.30245322,37.99505497,189,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.30232322,37.99529497,190,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.30224322,37.99556997,191,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.30211322,37.99594997,192,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.30143322,37.99728497,193,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.30084322,37.99852497,194,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.30065322,37.99888997,195,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.30025322,37.99947497,196,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.29986322,38.00004497,197,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.29964322,38.00045497,198,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.29948322,38.00096497,199,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.29930322,38.00175497,200,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.29911322,38.00252497,201,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.29900322,38.00282497,202,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.29874322,38.00358497,203,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.29855822,38.00415997,204,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.29881322,38.00425497,205,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.29919322,38.00421497,206,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.29961156,38.00417724,207,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.30009322,38.00417497,208,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.30073322,38.00422497,209,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.3012931,38.00428444,210,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.30163323,38.00430497,211,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.301962,38.00432369,212,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.30235323,38.00434997,213,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.30285323,38.00439497,214,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.30338498,38.00444092,215,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.30380893,38.00443859,216,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.30423323,38.00449497,217,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.30465322,38.00455497,218,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.30506322,38.00466497,219,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.30553496,38.0048075,220,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.30618822,38.00500497,221,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.30660823,38.00508497,222,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.30703323,38.00513497,223,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.30792323,38.00517497,224,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.30780269,38.01008972,225,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.30674789,38.01024071,226,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.30642807,38.01036314,227,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.30542211,38.01047392,228,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.30505328,38.01063569,229,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.3046878,38.01048513,230,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.30435143,38.01062905,231,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.30404287,38.01056436,232,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.30366813,38.01048333,233,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.30098805,38.01028129,234,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.30039496,38.01023827,235,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.29989039,38.0102286,236,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.29957404,38.01029414,237,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.29930932,38.01067984,238,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.29900602,38.01083192,239,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.29863423,38.01087227,240,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.29829068,38.01117243,241,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.29799265,38.01154129,242,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.29768619,38.01201437,243,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.29766383,38.01244843,244,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.29756055,38.01271024,245,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.29756771,38.01300506,246,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.29708616,38.01366393,247,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.29573966,38.01215608,248,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.29543322,38.01172497,249,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.29286857,38.0112976,250,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
-122.2899879,38.00789709,251,FALSE,1,Collins Elementary.1,Collins Elementary,Collins Elementary,0
